x,y,z
260,379,a
254,383,a
248,386,a
241,389,a
235,389,a
230,389,a
225,389,a
219,384,a
212,372,a
207,361,a
206,350,a
207,342,a
212,335,a
228,328,a
252,328,a
302,343,a
327,357,a
347,371,a
360,384,a
366,398,a
369,409,a
368,419,a
356,430,a
338,436,a
313,439,a
278,439,a
245,438,a
216,430,a
190,419,a
185,416,a
178,402,a
175,388,a
174,373,a
174,359,a
178,346,a
189,331,a
201,327,a
209,326,a
216,326,a
228,328,a
244,334,a
263,344,a
282,354,a
305,371,a
313,378,a
318,383,a
323,389,a
326,398,a
327,406,a
318,423,a
312,426,a
277,434,a
250,436,a
222,432,a
199,423,a
182,413,a
172,399,a
169,391,a
168,379,a
170,367,a
176,355,a
189,344,a
206,339,a
229,338,a
256,350,a
264,361,a
267,376,a
265,393,a
257,402,a
251,406,a
227,433,a
226,433,a
223,433,a
216,433,a
200,431,a
169,430,a
158,430,a
147,427,a
139,423,a
137,422,a
137,419,a
137,412,a
140,401,a
153,383,a
179,362,a
224,346,a
284,342,a
313,351,a
328,362,a
336,374,a
343,389,a
356,406,a
366,412,a
374,414,a
379,415,a
380,415,a
376,413,a
370,406,a
352,381,a
340,354,a
328,331,a
324,313,a
322,302,a
321,296,a
321,292,a
321,290,a
321,288,a
320,286,a
317,283,a
313,279,a
304,273,a
294,270,a
292,269,a
291,269,a
291,270,a
293,271,a
293,272,a
295,275,a
295,276,a
274,65,b
284,60,b
299,55,b
318,52,b
336,50,b
354,49,b
357,49,b
363,49,b
366,49,b
371,49,b
377,49,b
383,49,b
392,49,b
397,49,b
404,49,b
406,49,b
408,50,b
412,53,b
416,56,b
423,60,b
429,64,b
437,68,b
446,75,b
456,84,b
468,94,b
476,103,b
480,109,b
482,114,b
482,118,b
478,121,b
475,121,b
474,120,b
470,118,b
466,113,b
457,107,b
454,106,b
451,106,b
447,107,b
437,114,b
422,122,b
404,128,b
365,134,b
338,133,b
320,125,b
315,121,b
313,118,b
314,109,b
319,97,b
333,77,b
343,65,b
353,53,b
362,43,b
366,40,b
366,43,b
366,54,b
365,68,b
359,80,b
346,92,b
326,98,b
310,97,b
289,82,b
281,71,b
278,64,b
275,58,b
270,53,b
261,51,b
253,51,b
244,51,b
236,51,b
235,51,b
235,50,b
235,48,b
235,46,b
240,36,b
269,16,b
302,5,b
412,84,b
411,90,b
407,96,b
401,103,b
396,105,b
385,107,b
371,103,b
350,95,b
336,89,b
294,67,b
286,58,b
285,56,b
283,38,b
294,18,b
308,9,b
326,8,b
357,20,b
383,37,b
405,63,b
411,79,b
413,95,b
412,111,b
408,119,b
402,125,b
390,130,b
375,128,b
361,119,b
352,113,b
334,93,b
326,80,b
325,70,b
327,59,b
333,50,b
348,44,b
393,44,b
431,48,b
457,57,b
469,65,b
472,74,b
470,84,b
460,100,b
426,119,b
394,124,b
351,124,b
308,119,b
284,116,b
272,110,b
264,101,b
261,93,b
257,83,b
255,69,b
257,52,b
260,48,b
268,41,b
286,36,b
297,34,b
307,33,b
322,31,b
342,30,b
365,36,b
385,48,b
396,63,b
401,96,b
395,119,b
378,139,b
353,149,b
323,151,b
294,145,b
255,124,b
244,111,b
240,96,b
240,81,b
246,61,b
260,40,b
294,11,b
326,3,b
367,3,b
400,12,b
420,23,b
429,37,b
431,52,b
431,69,b
428,98,b
422,112,b
412,122,b
396,129,b
375,131,b
353,125,b
327,111,b
301,88,b
295,77,b
295,71,b
299,63,b
313,55,b
338,53,b
409,62,b
434,70,b
421,120,b
423,119,b
426,119,b
431,121,b
437,123,b
442,125,b
450,128,b
454,129,b
457,130,b
460,132,b
463,134,b
472,140,b
475,142,b
487,149,b
491,153,b
496,158,b
500,162,b
503,167,b
509,175,b
516,181,b
524,187,b
531,193,b
536,197,b
540,202,b
543,206,b
546,212,b
549,219,b
551,222,b
553,228,b
556,232,b
558,236,b
560,243,b
563,249,b
565,252,b
566,254,b
567,256,b
568,257,b
568,258,b
568,259,b
569,261,b
570,264,b
572,266,b
572,267,b
573,268,b
573,269,b
573,270,b
574,271,b
574,272,b
575,273,b
575,275,b
576,275,b
576,276,b
577,276,b
577,277,b
578,279,b
578,281,b
579,284,b
579,289,b
579,290,b
579,294,b
579,297,b
577,301,b
575,304,b
575,306,b
574,307,b
574,308,b
573,309,b
572,310,b
572,311,b
571,312,b
570,313,b
570,314,b
569,315,b
568,315,b
568,316,b
568,317,b
567,318,b
566,319,b
565,319,b
564,319,b
564,320,b
563,320,b
