x,y,z
379,404,a
378,405,a
362,420,a
340,434,a
302,447,a
277,453,a
251,455,a
224,455,a
209,454,a
189,449,a
184,449,a
175,445,a
167,437,a
163,427,a
163,417,a
164,411,a
182,394,a
205,384,a
235,372,a
273,361,a
333,347,a
401,331,a
466,320,a
534,320,a
551,323,a
580,332,a
596,346,a
600,355,a
602,363,a
602,367,a
603,372,a
603,374,a
601,377,a
599,379,a
588,389,a
566,403,a
502,435,a
456,451,a
418,461,a
376,473,a
329,478,a
309,478,a
277,474,a
251,467,a
224,459,a
204,452,a
191,444,a
190,442,a
190,440,a
190,437,a
192,431,a
198,423,a
211,414,a
239,402,a
287,392,a
351,386,a
408,386,a
444,386,a
461,386,a
477,392,a
485,396,a
489,398,a
494,401,a
494,402,a
494,403,a
493,404,a
488,404,a
476,405,a
466,405,a
463,405,a
397,439,a
376,439,a
355,439,a
328,439,a
288,437,a
254,431,a
232,425,a
220,421,a
217,419,a
217,416,a
217,413,a
221,406,a
234,400,a
253,394,a
288,389,a
335,385,a
387,383,a
453,383,a
511,385,a
553,387,a
576,392,a
579,393,a
579,394,a
579,396,a
577,398,a
558,406,a
505,421,a
403,437,a
296,445,a
215,452,a
148,454,a
128,454,a
122,449,a
120,444,a
118,436,a
117,433,a
117,432,a
126,418,a
208,376,a
296,344,a
406,318,a
500,302,a
584,295,a
630,295,a
649,305,a
657,323,a
658,340,a
656,358,a
645,370,a
611,384,a
529,399,a
434,400,a
317,400,a
213,400,a
154,404,a
113,404,a
93,404,a
69,400,a
61,396,a
59,395,a
59,393,a
59,392,a
60,391,a
82,386,a
130,384,a
219,386,a
299,400,a
372,421,a
405,440,a
411,451,a
411,460,a
386,476,a
356,484,a
329,485,a
261,479,a
189,459,a
143,440,a
123,428,a
114,414,a
114,400,a
121,372,a
149,353,a
175,344,a
250,335,a
367,339,a
413,355,a
429,373,a
431,382,a
431,393,a
425,400,a
406,411,a
344,427,a
188,441,a
92,444,a
54,444,a
588,415,a
582,414,a
556,412,a
491,409,a
411,409,a
339,409,a
280,407,a
254,398,a
253,396,a
253,387,a
253,378,a
254,377,a
258,378,a
283,393,a
338,432,a
394,469,a
446,501,a
615,404,a
606,404,a
568,404,a
481,404,a
335,386,a
263,367,a
224,346,a
219,339,a
219,338,a
225,338,a
264,356,a
358,400,a
529,460,a
621,482,a
665,485,a
667,485,a
665,485,a
658,481,a
642,472,a
628,464,a
610,457,a
573,444,a
498,413,a
488,404,a
480,398,a
479,396,a
489,394,a
533,391,a
577,382,a
617,366,a
627,355,a
628,351,a
623,349,a
614,349,a
602,356,a
593,367,a
576,387,a
576,389,a
576,390,a
581,392,a
613,393,a
639,393,a
663,386,a
666,380,a
663,364,a
639,337,a
600,313,a
552,298,a
524,296,a
497,304,a
487,320,a
485,334,a
485,354,a
497,377,a
527,397,a
576,406,a
637,407,a
697,403,a
247,395,a
242,393,a
237,390,a
231,387,a
225,382,a
216,376,a
204,364,a
196,356,a
186,348,a
178,341,a
173,338,a
166,330,a
164,327,a
162,323,a
162,320,a
162,317,a
161,313,a
160,312,a
160,311,a
159,308,a
158,306,a
158,305,a
158,303,a
157,298,a
156,295,a
155,291,a
154,287,a
153,278,a
151,272,a
151,271,a
151,268,a
151,267,a
151,268,a
151,270,a
151,271,a
450,367,a
454,365,a
466,362,a
481,359,a
494,356,a
504,353,a
509,350,a
510,349,a
512,347,a
516,342,a
523,334,a
530,327,a
533,325,a
536,318,a
538,314,a
542,307,a
545,299,a
547,296,a
548,294,a
548,293,a
548,292,a
549,290,a
550,286,a
550,281,a
551,277,a
551,274,a
551,271,a
552,271,a
552,270,a
266,56,b
266,57,b
265,58,b
264,61,b
261,64,b
256,71,b
252,75,b
248,78,b
243,82,b
242,82,b
240,82,b
237,82,b
230,82,b
225,79,b
216,73,b
212,69,b
211,64,b
209,58,b
208,50,b
208,47,b
208,46,b
208,42,b
208,41,b
209,39,b
211,37,b
214,37,b
216,37,b
219,36,b
225,33,b
228,32,b
233,31,b
236,30,b
237,30,b
238,32,b
243,34,b
246,35,b
247,37,b
248,38,b
250,40,b
252,43,b
254,46,b
256,47,b
257,48,b
259,51,b
260,52,b
260,54,b
262,57,b
263,59,b
265,63,b
267,67,b
268,71,b
270,74,b
270,78,b
271,82,b
272,86,b
273,91,b
274,93,b
275,97,b
275,100,b
276,105,b
277,110,b
277,117,b
279,123,b
281,127,b
281,129,b
282,133,b
283,136,b
284,139,b
285,141,b
286,144,b
288,148,b
289,151,b
290,154,b
292,157,b
294,161,b
294,164,b
297,168,b
299,170,b
300,171,b
303,174,b
305,176,b
307,178,b
308,178,b
310,179,b
313,181,b
319,182,b
328,183,b
331,183,b
338,183,b
346,180,b
356,175,b
367,170,b
378,164,b
382,163,b
383,162,b
384,161,b
384,160,b
385,157,b
388,151,b
390,144,b
391,139,b
392,136,b
393,132,b
393,129,b
393,125,b
393,120,b
393,115,b
393,110,b
393,106,b
